AC_Ajaccio FC_Paços_de_Ferreira
AC_Ajaccio Reading_FC
AC_Amiens Bristol_City
AC_Cesena Brighton
AC_Cesena Preston
AC_Fiorentina Cardiff
AC_Le_Havre Marítimo
AC_Siena FC_Lorient
AC_Siena Montpellier
ADO_Den_Haag Brentford
ADO_Den_Haag FSV_Mainz
ADO_Den_Haag Udinese_Calcio
AFC_Bournemouth Borussia_Dortmund
AFC_Bournemouth FC_Zwolle
AFC_Bournemouth LFK_Sibir
AFC_Bournemouth Marítimo
AS_Livorno Gil_Vicente_FC
AS_Livorno Hellas_Verona
AS_Livorno Hércules_CF
AS_Monaco Stuttgart
AS_Nancy LFK_Sibir
AS_Roma Valencia
AZ_Alkmaar Excelsior
Académica_Coimbra Rayo_Vallecano
Ajax R._Strasbourg
Ajax West_Ham
Alania Portsmouth
Alania Vitória_Setúbal_FC
Alavés Borussia_Mönchengladbach
Almería_CF Charlton
Almería_CF FK_Tambov
Almería_CF Kuban_Krasnodar
Almería_CF PSG
Amkar_II CA_Bastia
Amkar_II Udinese_Calcio
Angers_SCO Espanyol
Angers_SCO FC_Paços_de_Ferreira
Angers_SCO FK_Rostov
Angers_SCO Fulham
Angers_SCO Rotherham
Angers_SCO Swansea_City
Arouca EA_Guingamp
Arouca Leicester
Arsenal Roda_JC
Arsenal_Tula AS_Saint-Étienne
Arsenal_Tula Bayern_Munich
Arsenal_Tula Napoli
Arsenal_Tula Vitória_Setúbal_FC
Atalanta Coventry
Atalanta Doncaster_Rovers
Atalanta Espanyol
Athletic AC_Ajaccio
Athletic Almería_CF
Athletic CD_Tondela
Athletic FC_Tosno
Athletic Marítimo
Athletic Uralmash
Atlético_Madrid FC_Groningen
Atlético_Madrid Lokomotiv_Moscow
Atlético_Madrid Real_Betis
Atlético_Madrid Stade_Reims
Atlético_Madrid TSG_Hoffenheim
Atlético_Madrid União_de_Leiria
Barcelona Bolton
Barcelona SC_Braga
Barnsley_FC Bayern_Munich
Barnsley_FC Cagliari_Calcio
Barnsley_FC Din._Krasnodar
Barnsley_FC FC_Sochi
Barnsley_FC RCD_Mallorca
Bayer_Leverkusen Hellas_Verona
Bayern_Munich F._Düsseldorf
